# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = prior_model
# start_datetime = 2024-05-10 14:43:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpb4piadjj/cjld177g.json
# init = 2 (Default)
# random
#   seed = 123456
# output
#   file = /GA/Data-Analytics/lab5/samples/prior-20240510144355.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,alpha,theta,accidents.1,accidents.2,accidents.3,accidents.4,accidents.5,accidents.6,accidents.7,accidents.8,accidents.9,accidents.10
0,0,1.4796,0.00185758,10,8,16,5,7,9,13,15,11,23
0,0,2.27582,0.00181822,5,10,9,10,11,15,12,16,23,14
0,0,3.13757,0.00306888,17,17,16,10,21,21,26,21,27,27
0,0,2.26076,0.00232844,9,12,11,13,20,17,20,28,14,25
0,0,3.62109,0.00216309,10,13,12,16,16,15,19,14,17,18
0,0,0.794538,0.00228321,8,8,8,13,11,12,15,19,18,21
0,0,0.515372,0.00311116,16,14,16,17,21,19,16,21,37,22
0,0,2.24311,0.0057176,21,27,40,35,34,26,39,32,41,45
0,0,2.31269,0.00382833,18,16,18,25,20,26,35,34,29,27
0,0,2.98709,0.00247294,10,17,14,20,16,28,21,19,20,13
0,0,1.67836,0.0052701,26,24,24,27,30,30,28,26,36,40
0,0,2.74555,0.00243765,12,14,11,8,16,22,15,18,21,17
0,0,3.1465,0.0032268,16,14,26,19,20,18,19,27,30,28
0,0,3.79325,0.00546291,20,26,31,25,34,26,33,35,49,40
0,0,2.47539,0.00313305,12,12,25,21,24,21,21,18,23,23
0,0,4.1119,0.00286692,12,12,19,21,23,15,25,21,28,24
0,0,0.681176,0.00242855,6,8,10,9,19,16,10,18,15,15
0,0,1.11689,0.00173649,10,6,2,11,10,12,8,10,16,10
0,0,2.17313,0.00321768,17,15,8,17,22,25,18,22,28,30
0,0,3.46473,0.00359388,17,14,24,16,25,21,33,24,24,39
0,0,2.99764,0.00270456,9,17,21,17,15,17,14,18,33,23
0,0,3.26617,0.00349471,28,18,10,14,25,27,27,28,32,28
0,0,2.65675,0.00282425,9,19,16,25,22,17,15,23,27,15
0,0,2.51333,0.00273425,13,20,17,14,22,23,20,17,24,25
0,0,0.863944,0.00283745,4,11,12,15,18,16,11,16,26,24
0,0,1.44633,0.0038279,7,22,19,24,30,39,16,30,30,25
0,0,3.94434,0.0031178,15,16,22,26,21,16,12,24,30,32
0,0,3.04136,0.00314195,12,13,21,15,19,20,19,28,25,30
0,0,1.92777,0.00565482,22,29,23,38,35,37,35,44,49,44
0,0,2.38381,0.00315054,13,15,17,10,24,23,27,18,33,22
0,0,2.00627,0.00210495,4,12,17,18,21,20,23,22,19,16
0,0,3.26409,0.00333414,24,17,19,31,26,28,23,15,25,28
0,0,3.31918,0.0026076,15,18,23,15,27,25,14,20,27,19
0,0,1.0253,0.00209658,11,10,12,15,15,12,9,15,18,17
0,0,2.62785,0.00448643,20,25,35,18,23,35,29,32,29,26
0,0,2.31164,0.00222735,13,17,16,21,13,20,16,17,21,22
0,0,2.62301,0.00121169,4,9,7,7,6,13,14,14,6,7
0,0,1.15871,0.00192116,2,9,9,12,3,12,8,6,16,8
0,0,1.23435,0.00165392,5,11,10,12,10,11,13,10,10,18
0,0,0.636681,0.00329752,11,11,20,18,23,26,20,29,20,18
0,0,2.25157,0.00220701,11,13,17,9,12,14,24,16,21,12
0,0,2.67379,0.00393731,17,16,27,32,20,19,21,21,26,32
0,0,1.25807,0.00233902,19,12,8,11,16,13,10,8,26,14
0,0,1.96601,0.00285459,18,12,17,17,18,20,17,22,21,24
0,0,1.53172,0.00284247,22,11,11,15,14,20,20,26,23,24
0,0,1.4278,0.00104004,5,6,7,7,9,10,7,12,11,9
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,1.57295,0.00204706,11,7,9,11,15,12,18,10,13,10
0,0,1.86257,0.000471934,4,2,7,6,6,3,4,1,11,6
0,0,3.0106,0.00112364,5,9,13,14,4,9,16,11,11,13
0,0,2.05934,0.00307766,14,13,17,20,23,17,22,25,16,22
0,0,3.32886,0.00341314,13,18,27,34,25,28,28,28,29,24
0,0,1.22571,0.00452723,18,14,19,27,36,30,32,31,39,28
0,0,1.02572,0.00423304,19,24,17,18,29,23,15,19,38,22
0,0,1.2882,0.00297032,9,10,22,13,26,16,18,22,21,27
0,0,0.94866,0.00191207,7,7,12,16,10,14,12,15,13,13
0,0,2.11019,0.00297612,18,9,14,17,17,16,22,23,34,24
0,0,2.60957,0.00433301,19,25,19,21,23,31,24,23,28,24
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,1.81628,0.00171822,8,10,14,11,10,10,8,14,18,12
0,0,2.79963,0.00102138,3,4,8,4,13,8,17,9,7,16
0,0,-0.0399705,0.00284482,10,21,14,19,18,21,21,20,22,20
0,0,3.04343,0.0017778,13,8,10,14,8,17,14,11,16,21
0,0,1.64168,0.0046851,16,24,22,25,23,24,30,28,39,36
0,0,1.30778,0.00121048,6,7,2,8,7,9,8,9,11,9
0,0,1.46137,0.00431454,15,19,30,34,34,26,33,33,46,23
0,0,3.16144,0.00409991,24,21,12,28,35,25,23,29,38,31
0,0,2.26434,0.00454758,25,22,26,18,36,30,26,32,47,32
0,0,1.41963,0.0010777,5,10,4,13,5,11,12,6,9,14
0,0,2.98543,0.0013428,11,8,5,11,9,13,15,16,16,9
0,0,2.44789,0.000782329,5,8,6,5,10,4,7,8,7,6
0,0,2.34744,0.00145492,11,7,8,7,8,8,4,11,14,15
0,0,0.884001,0.000660431,4,6,3,5,3,4,3,5,3,5
0,0,1.48126,0.00313813,6,19,19,14,25,28,21,16,26,28
0,0,4.82023,0.00248582,11,9,13,19,23,12,14,24,31,20
0,0,1.99434,0.00352526,19,10,15,18,21,24,22,29,33,30
0,0,4.21223,0.00190007,8,20,12,6,11,12,22,20,24,20
0,0,2.20397,0.00282297,17,11,19,15,17,19,17,24,19,29
0,0,0.629334,0.00501804,24,24,22,25,27,29,40,27,44,34
0,0,4.69957,0.00587114,25,37,40,35,45,47,34,48,55,41
0,0,3.28576,0.00475367,23,21,29,25,31,30,29,30,41,35
0,0,1.75144,0.00376718,21,22,21,27,24,15,20,32,32,45
0,0,1.35807,0.0017585,7,8,11,7,15,14,12,18,14,15
0,0,1.07861,0.00187566,6,7,7,10,17,8,16,15,20,15
0,0,3.62824,0.00351993,12,10,23,27,33,23,21,28,32,30
0,0,1.84347,0.00153803,9,8,10,15,11,11,17,11,9,14
0,0,2.03905,0.00390672,18,21,22,29,28,15,17,24,39,26
0,0,2.13452,0.00447452,28,22,30,33,34,33,22,28,32,36
0,0,2.40049,0.00035627,5,3,6,5,7,7,2,6,4,4
0,0,3.03088,0.00544295,26,34,31,28,36,35,33,35,46,51
0,0,0.614073,0.0005437,4,5,2,4,5,5,2,11,5,4
0,0,-0.632564,0.00245179,6,8,15,20,14,14,8,15,18,12
0,0,2.89894,0.00319337,21,13,20,22,23,23,18,20,31,21
0,0,1.4903,0.003173,10,16,26,16,18,16,25,25,24,22
0,0,1.21051,0.00476486,22,28,23,27,27,31,28,26,36,53
0,0,2.10581,0.000931238,6,7,7,7,11,10,6,10,13,11
0,0,2.38804,0.00161289,8,3,11,6,21,12,13,7,10,25
0,0,3.13615,0.00207766,10,8,17,14,23,19,14,20,18,21
0,0,3.43937,0.0031598,19,15,15,22,29,19,22,22,24,20
0,0,2.29635,0.00117727,5,8,7,10,10,5,10,6,15,6
0,0,2.50292,0.0034775,15,25,11,15,24,26,25,34,27,26
0,0,1.29608,0.006385,30,23,32,30,29,32,39,27,40,47
0,0,2.78967,0.00160914,3,13,11,11,10,12,6,15,13,16
0,0,2.43595,0.00173325,9,8,10,18,11,22,13,14,14,18
0,0,1.6085,0.00264015,12,13,18,16,19,18,18,17,18,16
0,0,2.20881,0.00399161,19,18,23,13,28,29,28,21,40,24
0,0,1.69136,0.00147801,6,9,7,10,10,10,11,11,14,16
0,0,2.49509,0.00376308,22,15,20,34,21,22,21,27,23,23
0,0,1.53589,0.00264779,11,6,11,24,15,10,13,16,26,13
0,0,2.71604,0.0031116,12,17,19,23,30,20,27,28,29,25
0,0,3.07965,0.00348986,21,12,25,21,31,30,29,22,27,23
0,0,0.83057,0.00228345,11,9,20,9,6,14,14,16,22,20
0,0,3.54334,0.00500235,18,34,28,33,35,29,35,29,30,47
0,0,2.32212,0.00478309,21,18,29,28,33,48,26,34,39,33
0,0,0.958903,0.00556091,29,14,28,33,32,30,36,36,36,39
0,0,2.2219,0.00271564,13,13,17,21,14,22,18,22,19,22
0,0,2.43542,0.00140588,7,8,8,19,16,14,9,8,14,11
0,0,3.17194,0.00385563,14,22,30,29,30,38,22,28,25,27
0,0,2.72608,0.00205166,7,16,12,10,17,12,13,22,18,25
0,0,2.29672,0.00448085,16,20,22,28,31,33,27,29,33,39
0,0,2.41682,0.00353549,15,18,21,17,25,30,16,17,31,32
0,0,2.72468,0.00081067,5,7,7,3,6,15,10,8,7,5
0,0,1.14317,0.00579156,19,23,26,26,36,38,32,32,48,46
0,0,1.55563,0.000323792,2,4,3,4,4,7,0,5,5,3
0,0,2.60557,0.00464649,20,26,26,30,23,36,34,29,35,42
0,0,1.6844,0.00319142,12,20,24,21,22,20,22,24,20,21
0,0,1.46129,0.00286966,14,10,8,17,13,17,20,20,24,27
0,0,2.68466,0.00469691,17,18,29,21,36,28,29,36,42,36
0,0,1.33933,0.00177863,9,7,10,14,10,11,10,9,9,12
0,0,2.33581,0.00260166,18,9,14,13,14,15,12,16,26,30
0,0,3.56336,0.00437602,15,21,31,34,30,30,21,39,37,35
0,0,3.17626,0.00447105,12,24,29,30,25,34,29,24,32,33
0,0,0.577334,0.00613443,26,31,39,31,34,42,40,41,39,42
0,0,1.25383,0.00377496,14,14,15,25,18,23,20,35,36,29
0,0,3.59699,0.00201321,14,13,11,21,15,10,12,16,17,13
0,0,1.78064,0.00113758,4,5,7,8,9,3,8,9,18,5
0,0,2.129,0.00187642,15,16,10,11,16,20,20,18,17,11
0,0,1.17424,0.00170418,3,9,11,15,12,13,4,11,15,11
0,0,3.76443,0.00204137,9,14,10,13,15,19,14,21,17,19
0,0,1.64486,0.00301846,12,18,16,16,19,18,16,20,25,25
0,0,1.82226,0.0029514,12,20,21,14,22,23,12,14,21,31
0,0,3.19213,0.00315596,14,13,21,16,25,22,21,20,32,36
0,0,2.69425,0.00174409,9,8,12,15,10,8,12,12,15,22
0,0,1.9519,0.00273794,15,15,18,12,24,15,22,19,20,21
0,0,3.6863,0.00218605,11,13,13,13,17,14,13,12,23,19
0,0,1.69456,0.00171485,11,6,9,6,12,9,13,9,14,9
0,0,2.66257,0.00266012,13,9,14,18,20,17,13,11,18,29
0,0,3.46565,0.000113928,4,5,5,5,5,9,3,5,4,6
0,0,3.34733,0.00237508,12,18,12,15,15,23,21,19,18,27
0,0,2.13112,0.00444748,14,22,25,32,35,19,28,27,38,31
0,0,2.74525,0.00297969,20,18,24,21,13,17,22,15,27,21
0,0,1.64016,0.0039297,19,20,14,24,21,23,19,32,30,34
0,0,1.52087,0.00265509,20,20,8,16,14,23,20,22,19,25
0,0,0.499053,0.00285794,7,10,9,12,13,13,11,19,24,23
0,0,2.5528,0.00321445,13,14,21,22,21,16,24,17,24,23
0,0,3.48122,0.00291125,9,20,19,15,14,21,9,21,29,28
0,0,0.564404,0.00322556,14,18,21,14,16,24,17,26,24,18
0,0,1.39546,0.00495679,23,28,24,24,30,36,27,24,41,52
0,0,1.44328,0.000256612,2,4,3,4,2,3,3,2,0,2
0,0,2.11715,0.00416194,17,20,14,27,27,19,27,19,30,28
0,0,2.2811,0.00344779,25,24,20,17,24,31,17,27,22,30
0,0,2.81796,0.00315818,17,19,11,24,19,20,23,25,25,21
0,0,2.88439,0.00148159,11,10,11,11,14,17,11,7,17,10
0,0,0.657321,0.00271683,19,13,17,13,15,21,21,18,15,20
0,0,3.28881,0.00116727,5,8,9,10,15,9,14,15,16,7
0,0,1.9132,0.00237968,9,11,10,12,16,10,11,13,7,21
0,0,2.91035,1.39061e-05,3,5,2,4,3,0,3,1,1,1
0,0,2.99003,0.0031223,25,14,16,24,20,25,14,20,24,22
0,0,-0.501886,0.00549968,19,13,24,34,27,24,34,30,35,47
0,0,1.5561,0.0031177,11,13,18,27,12,22,18,26,30,28
0,0,2.76637,0.0044403,16,14,23,19,34,30,27,26,20,35
0,0,1.93494,0.0045492,19,21,15,16,31,26,30,32,47,51
0,0,0.773452,0.000370219,2,1,4,1,3,4,3,1,4,5
0,0,0.839082,0.00343006,21,15,18,18,25,19,24,24,22,27
0,0,2.6353,0.00259525,12,15,18,12,23,13,25,18,17,23
0,0,0.632662,0.00165983,7,10,9,11,15,13,9,14,11,17
0,0,2.91459,0.00153259,7,17,9,9,7,9,17,10,16,8
0,0,3.0145,0.00386218,21,21,20,26,23,21,26,36,37,34
0,0,1.98289,0.00103555,12,5,6,13,7,13,9,10,6,5
0,0,0.877432,0.00197215,4,7,10,9,7,8,12,16,12,15
0,0,2.51664,0.00159065,14,9,6,4,10,15,5,9,10,14
0,0,0.22434,0.00206567,5,11,10,7,9,16,8,14,10,18
0,0,1.16867,0.00310236,19,19,14,26,15,18,17,27,23,19
0,0,1.36784,0.00340394,8,13,21,29,21,19,25,25,34,25
0,0,2.40845,0.00375465,18,22,21,24,30,29,22,26,33,24
0,0,4.62858,0.00611899,23,32,28,32,47,40,36,49,47,41
0,0,1.32415,0.00166198,6,11,8,13,12,11,12,15,7,15
0,0,2.14217,0.00339297,16,21,10,18,20,21,26,24,20,25
0,0,1.47094,0.00541806,17,24,29,42,30,32,22,28,46,42
0,0,2.0644,0.0065157,28,29,46,34,40,38,45,47,53,44
0,0,2.28976,0.00370003,20,20,14,13,20,22,21,31,17,17
0,0,4.99224,0.00156664,13,9,17,15,13,12,17,14,15,15
0,0,1.14834,0.00217026,12,16,13,8,6,10,13,19,14,11
0,0,3.98141,0.00230348,11,12,13,17,23,18,14,17,21,21
0,0,2.12449,0.00253188,10,9,13,15,25,28,16,27,21,24
0,0,2.99781,0.00441628,17,20,20,29,29,28,35,32,44,43
0,0,2.04552,0.00320021,17,11,13,16,15,24,15,26,31,30
0,0,1.92319,0.000941632,8,6,7,5,10,7,7,5,8,9
0,0,2.00362,0.00507921,20,18,29,21,26,35,39,35,32,32
0,0,2.39252,0.00171194,10,12,10,7,11,11,14,11,18,18
0,0,2.61078,0.00138949,4,5,7,14,6,8,13,9,10,9
0,0,1.9035,0.00550659,22,22,27,43,31,38,36,40,43,36
0,0,0.467588,0.0014903,5,6,6,8,11,6,12,10,16,9
0,0,3.10264,0.00243069,10,13,11,16,14,21,18,14,20,26
0,0,1.57974,0.00140733,8,6,7,8,4,12,7,13,16,16
0,0,2.86185,0.00505089,27,28,31,33,31,36,38,33,50,39
0,0,2.64907,0.00205996,9,7,15,14,17,22,17,9,18,20
0,0,2.20269,0.00266227,14,15,14,20,21,17,16,12,14,14
0,0,2.60866,0.00422128,15,22,20,18,24,22,27,38,28,33
0,0,1.829,0.00326776,18,19,20,21,23,25,13,11,23,19
0,0,1.29564,0.00292177,11,10,15,20,18,21,23,21,25,24
0,0,2.80295,0.00163251,13,7,15,14,6,16,13,15,13,13
0,0,1.44309,0.00171612,9,9,18,8,12,8,18,8,9,13
0,0,2.06876,0.00412951,18,17,27,25,25,29,22,24,37,27
0,0,0.851656,0.00460522,16,15,28,17,29,34,25,29,34,39
0,0,1.61437,0.00207554,10,12,13,11,17,10,12,16,24,14
0,0,1.56252,0.00190918,12,9,11,9,12,14,16,16,16,14
0,0,1.61539,0.00336699,14,18,18,26,23,22,15,22,26,21
0,0,1.17191,0.00289376,12,9,17,22,20,15,14,17,19,16
0,0,1.71202,0.00543344,13,22,31,35,19,37,38,36,48,37
0,0,3.44353,0.00187825,9,9,13,9,15,8,13,13,18,4
0,0,2.59183,0.00289671,19,7,11,26,15,25,21,23,23,31
0,0,2.57007,0.00320036,16,11,16,15,22,17,19,22,30,28
0,0,-0.281712,0.00212087,6,3,12,10,12,11,13,9,13,10
0,0,1.98637,0.00271645,9,18,20,10,19,18,16,23,15,24
0,0,1.48162,0.00175403,4,14,19,11,13,9,11,9,16,10
0,0,2.4114,0.000796551,3,3,6,5,10,7,4,6,6,6
0,0,2.07027,0.00320197,19,18,21,19,14,23,20,22,25,23
0,0,2.93045,0.00470978,24,24,26,35,27,39,32,31,53,33
0,0,2.31325,0.00328964,22,14,22,15,25,19,10,24,25,31
0,0,1.39439,0.00249143,8,11,12,19,11,15,10,19,21,24
0,0,2.63366,0.00336361,14,21,25,25,27,20,26,24,24,26
0,0,2.62332,0.00365543,16,16,19,30,26,26,19,38,33,21
0,0,2.5328,0.00201422,15,6,11,16,21,16,13,22,16,19
0,0,2.5356,0.00229073,10,9,10,13,11,18,15,16,17,17
0,0,3.2216,0.00199057,10,6,8,17,11,14,14,20,18,20
0,0,2.16302,0.0023846,14,14,8,18,13,14,21,17,27,19
0,0,1.96233,0.00269874,9,13,12,14,15,18,13,20,20,21
0,0,-0.0434588,0.00177749,8,5,10,11,15,13,12,13,15,16
0,0,1.01803,0.00484344,22,27,23,27,28,25,27,20,28,38
0,0,1.2971,0.00322285,14,25,24,19,20,15,14,25,21,25
0,0,2.64327,0.00223795,17,13,17,16,17,16,16,21,27,12
0,0,2.64758,0.00307752,14,14,14,13,28,22,32,22,23,20
0,0,1.83659,0.00162699,10,7,8,18,15,13,11,16,15,20
0,0,4.28682,0.00293217,18,15,10,20,21,20,22,15,24,22
0,0,3.16323,0.00283993,21,11,23,19,20,22,19,24,22,27
0,0,2.01312,0.00207499,10,9,10,13,15,15,16,19,15,18
0,0,0.208081,0.00262446,7,13,13,18,14,16,19,16,20,24
